dataset,status,n_features,beam_size,attempt,refinement_type,r2,rmse,complexity,seconds,error,noise_strength,expr
1027_ESL,ok,4,256,4,BFGS,0.8767026839028811,0.5106330205238245,126,124.19,,0.0,(14.170468713340803 + ((3.391322318555962 * sin((-0.2805028783395448 + (-0.18241937266491465 * (-6.146798559422659 + (1.0976425998969035 * x_3)))))) - ((0.5868637856605632 * (-6.146798559422659 + (1.0976425998969035 * x_3))) - (((((((((1.6599677949718303 * (-3.689442089095961 + (0.6641659926365366 * x_0))) - (-1.8289371342380096 * (-6.146798559422659 + (1.0976425998969035 * x_3)))) - (((2.383709049242963 * (-3.689442089095961 + (0.6641659926365366 * x_0))) - (-0.03125670890863186 + (1.9109298726943655 * (-4.543727322540949 + (0.8485018342746871 * x_2))))) - (0.3882998391093818 * (-3.1650294675520123 + (0.6187740894529837 * x_1))))) - (4.552493062336146 + (-1.8656306087116776 * (-6.146798559422659 + (1.0976425998969035 * x_3))))) - (0.9128893757140666 * (-6.146798559422659 + (1.0976425998969035 * x_3)))) - ((1.4627154126294777 * (-4.543727322540949 + (0.8485018342746871 * x_2))) - (1.0186547908056287 * (-3.689442089095961 + (0.6641659926365366 * x_0))))) - (3.533091372724334 + (-1.5690365451129482 * (-6.146798559422659 + (1.0976425998969035 * x_3))))) - (1.3204072320386913 * (-6.146798559422659 + (1.0976425998969035 * x_3)))) - (-0.13684362904778008 + (1.3397400584404662 * (-6.146798559422659 + (1.0976425998969035 * x_3))))))))
1028_SWD,ok,10,64,2,BFGS,0.4331448057120434,0.6081252574539746,138,192.61,,0.0,(2.263295164429482 + ((-0.5173459174451546 * ((-2.6745450995191127 + (1.3046561461068844 * x_9)) * sin((3.0013613497646334 + (-0.1254994915435728 * (-2.6745450995191127 + (1.3046561461068844 * x_9))))))) - ((((((-0.051602895303021284 * (-2.7885115085974532 + (1.4154880754301793 * x_0))) - (0.014842104065293259 * (-2.6745450995191127 + (1.3046561461068844 * x_9)))) - (((1.109917939642707 * sin((2.3337058796182415 + (-0.3103414661011498 * (-2.3736872687394746 + (1.012233376861183 * x_4)))))) - (-0.8663255200232611 * (-2.6745450995191127 + (1.3046561461068844 * x_9)))) - (1.528285875003609 * (-2.6745450995191127 + (1.3046561461068844 * x_9))))) - ((0.04207877850450026 * (-2.4841136395988146 + (1.2451697441598069 * x_3))) - sin((1.3807695184049922 + (-0.3145319919533136 * (-2.8621521711176414 + (1.2806049982629268 * x_1))))))) - ((0.8384059699794968 * (-2.6745450995191127 + (1.3046561461068844 * x_9))) - ((0.31534930172878495 * (-2.1689364464787513 + (0.972617240573431 * x_2))) - (-0.22589436813015934 * ((-2.6745450995191127 + (1.3046561461068844 * x_9)) * sin(((5.147569725610367 * (-2.3736872687394746 + (1.012233376861183 * x_4))) - (2.4233871371802786 * (-2.1689364464787513 + (0.972617240573431 * x_2)))))))))) - (2.5947048814948586 * sin((0.8374774376205548 + (0.4310308908026633 * (-2.1689364464787513 + (0.972617240573431 * x_2)))))))))
1029_LEV,ok,4,128,3,BFGS,0.6286568022759077,0.5915689558582199,100,166.68,,0.0,(2.2922350285438826 + ((0.4326806450768459 * sin((-0.035012461856444334 + (1.6100043465386795 * (-1.3777422408758337 + (0.721331016165358 * x_3)))))) - (0.17049728295192235 * ((((-1.4940310227027958 * (-1.490881128154221 + (0.7665198602335326 * x_1))) - ((((2.313936053024123 * (-1.3537592065395143 + (0.7317617332646023 * x_0))) - (2.0149669708241733 * sin((4.229077749061652 + (1.5575738293373043 * (-1.490881128154221 + (0.7665198602335326 * x_1))))))) - (-1.6196250697950667 * (-1.490881128154221 + (0.7665198602335326 * x_1)))) - (1.9377468784537708 * sin((1.4890040953805768 + (0.6578612954172982 * (-1.490881128154221 + (0.7665198602335326 * x_1)))))))) - ((1.0862906711918185 * (-1.338219395737549 + (0.6915862510271571 * x_2))) - (3.432511539942949 * sin((1.9611702793567503 + (-0.9057800320298455 * (-1.490881128154221 + (0.7665198602335326 * x_1)))))))) - (0.7546470472490783 * sin((0.2099788732513077 + (0.9940177826097725 * (-1.490881128154221 + (0.7665198602335326 * x_1))))))))))
1030_ERA,ok,4,128,3,BFGS,0.5072118545816031,1.4091232144298995,130,173.17,,0.0,(3.5088573644917034 + (((0.1797801485111855 * (-1.4098777764544617 + (0.21377979931075994 * x_3))) - (((-0.5133781265333065 * sin((0.6141112787014911 + (1.8892869772313006 * ((-1.6821592654348876 + (0.2229502008528678 * x_0)) * (1.0038534665196426 + (1.1352266940887035 * (-1.4098777764544617 + (0.21377979931075994 * x_3))))))))) - (-1.8026202153614108 + (0.2599308169230585 * x_1))) - ((-0.3885552646806479 * sin((1.2532986521309954 + (2.11521620267023 * (-1.775251610451698 + (0.26918144207000727 * x_2)))))) - (((1.5812280057535597 * sin((3.390819433050916 + (0.46529765861508765 * (-1.6821592654348876 + (0.2229502008528678 * x_0)))))) - (0.8474937016397179 * (-1.8026202153614108 + (0.2599308169230585 * x_1)))) - (0.5346741751909595 * (-1.8026202153614108 + (0.2599308169230585 * x_1))))))) - ((1.6941095934413295 * (-1.775251610451698 + (0.26918144207000727 * x_2))) - ((-0.8629496744799545 * (-1.775251610451698 + (0.26918144207000727 * x_2))) - ((2.279165390940178 * sin((-0.20118162658086944 + (0.6403901772044716 * (-1.8026202153614108 + (0.2599308169230585 * x_1)))))) - ((2.76241009930086 * (-1.775251610451698 + (0.26918144207000727 * x_2))) - (-0.6219257428185203 * sin((-0.5797535033989888 + (2.607307116130642 * (-1.8026202153614108 + (0.2599308169230585 * x_1))))))))))))
1096_FacultySalaries,ok,4,64,2,BFGS,0.9371854507938369,1.145707313379512,105,39.32,,0.0,(43.91787339824603 + ((((8.234518652671884 * sin((-4.2414070073077585 + (1.938767073851305 * (-9.112288776127002 + (0.17718880655098507 * x_3)))))) - (-1.9265422951376499 * (-8.427043203926056 + (0.14480699704232594 * x_1)))) - ((5.755637340119765 * (-8.427043203926056 + (0.14480699704232594 * x_1))) - (((-8.144810584488017 * sin((1.9059525248743165 + (2.0565005452288725 * (-9.112288776127002 + (0.17718880655098507 * x_3)))))) - ((1.4205236162337602 * (-8.427043203926056 + (0.14480699704232594 * x_1))) - ((1.4407444186498024 * sin((3.4680822502378508 + (2.049956109390232 * ((-9.112288776127002 + (0.17718880655098507 * x_3)) * (-8.427043203926056 + (0.14480699704232594 * x_1))))))) - (2.6219310707432326 * sin(((3.3764339303586457 * (-7.346234106637792 + (0.09939270487749849 * x_2))) - (3.8957737406866784 * (-8.427043203926056 + (0.14480699704232594 * x_1))))))))) - (1.594505923825844 * (-8.427043203926056 + (0.14480699704232594 * x_1)))))) - (-10.742934347306019 * (-8.427043203926056 + (0.14480699704232594 * x_1)))))
1193_BNG_lowbwt,ok,9,256,4,BFGS,0.6314433597698623,439.87462273753385,133,353.16,,0.0,(620.8283580162472 + ((71.42809570301299 * (-0.9231403599700084 + (0.7474820728502092 * x_8))) - ((-27.28124535072967 * (-0.7018100265975371 + (2.126697050295567 * x_0))) - (8.36753140610405 * ((((-36.44974986670189 * (-0.8422598823413764 + (2.029541885159943 * x_4))) - (((8.181442542554606 * (-0.7018100265975371 + (2.126697050295567 * x_0))) - (2.109685444909747 * (-1.7565107319733801 + (1.3459852352286439 * x_3)))) - ((6.1825463865309 * (-0.8422598823413764 + (2.029541885159943 * x_4))) - ((19.355829469984826 * sin((14.284865201442528 + (-0.985671921274867 * (-0.8422598823413764 + (2.029541885159943 * x_4)))))) - ((43.18107641957826 * (-0.8422598823413764 + (2.029541885159943 * x_4))) - ((20.528122683797704 * ((-0.8422598823413764 + (2.029541885159943 * x_4)) * sin((7.829061058915311 + (-0.18425003433252862 * (-1.7565107319733801 + (1.3459852352286439 * x_3))))))) - ((7.133817557039146 * (-0.8422598823413764 + (2.029541885159943 * x_4))) - (-0.7018100265975371 + (2.126697050295567 * x_0))))))))) - (1.9673282169348365 + (2.284609203620218 * (-1.7565107319733801 + (1.3459852352286439 * x_3))))) * ((21.655973898120443 * (-0.7018100265975371 + (2.126697050295567 * x_0))) - (37.70083638264619 + (0.028398043312516136 * (-0.7018100265975371 + (2.126697050295567 * x_0))))))))))
1196_BNG_pharynx,ok,10,256,4,BFGS,0.460219491587906,281.4372670065579,144,154.99,,0.0,(144.52464642931486 + (((11.560191529952995 * (-0.5927489783638191 + (2.279803762937766 * x_9))) - ((-8.657274186617276 * (-0.5927489783638191 + (2.279803762937766 * x_9))) - ((-16.702121253333573 * (-0.5927489783638191 + (2.279803762937766 * x_9))) - ((-20.011064817071592 * (-0.5927489783638191 + (2.279803762937766 * x_9))) - ((168.4729786312653 * sin((7.722375107437049 + (-0.018165562094842894 * (-0.5927489783638191 + (2.279803762937766 * x_9)))))) - (19.065334739440402 * (-0.5927489783638191 + (2.279803762937766 * x_9)))))))) - (((8.430030078914761 * ((-0.5927489783638191 + (2.279803762937766 * x_9)) * (((((12.95693461218246 * sin((4.2265661845402605 + (1.753636721564273 * (-1.3193830297679 + (0.5890102811463838 * x_0)))))) - (1.2410987503818625 * (-0.5927489783638191 + (2.279803762937766 * x_9)))) - ((1.2722397863824173 * (-5.275654998591812 + (0.08600904883651646 * x_4))) - (31.392838142982363 * sin((1.2782778956448588 + (1.4289946055930647 * (-0.5927489783638191 + (2.279803762937766 * x_9)))))))) - (15.046571618172567 * (-0.5927489783638191 + (2.279803762937766 * x_9)))) - ((-6.158044760283407 * (-1.020204061220407 + (2.000400120040014 * x_2))) - (0.8136325086965663 * (-0.5927489783638191 + (2.279803762937766 * x_9))))))) - (0.790741230391798 * (-0.5927489783638191 + (2.279803762937766 * x_9)))) - (12.550188795243212 * (-0.5927489783638191 + (2.279803762937766 * x_9))))))
1199_BNG_echoMonths,ok,9,128,3,BFGS,0.5503859611059447,10.398374820136736,145,165.39,,0.0,(18.972817263153573 + (((-5.208696044946098 * (-0.7018100265975372 + (2.1266970502955673 * x_0))) - ((1.302459758142358 * (-1.7077351386697883 + (0.1433472945228545 * x_4))) - ((((1.6051139207363998 * ((-2.7393118696321914 + (0.1834262746734647 * x_6)) * (-3.0702386426579005 + (2.0989423382322308 * x_7)))) - ((13.881429128837922 * sin((2.0141124827889554 + (0.5265676457033115 * (-1.7077351386697883 + (0.1433472945228545 * x_4)))))) - ((((4.7596154672950775 * sin((0.36128456775929574 + (0.3244433888711824 * (-1.7077351386697883 + (0.1433472945228545 * x_4)))))) - ((2.66948551179747 * (-1.7077351386697883 + (0.1433472945228545 * x_4))) - (1.0658789329216023 * (-0.7018100265975372 + (2.1266970502955673 * x_0))))) - (0.8995668618108748 * (-7.068403061162645 + (0.11366866615016445 * x_1)))) - (((4.27224460056571 * (-1.7077351386697883 + (0.1433472945228545 * x_4))) - (0.15205252936356428 * (-0.7018100265975372 + (2.1266970502955673 * x_0)))) - (0.5229593613445664 * (-1.7077351386697883 + (0.1433472945228545 * x_4))))))) - (0.7222316370244899 * sin((-1.2109136501324675 + (1.335782794489592 * (-0.7018100265975372 + (2.1266970502955673 * x_0))))))) - ((1.6167633034839408 * (-0.7018100265975372 + (2.1266970502955673 * x_0))) - (17.014033487995995 * sin((1.526995740171742 + (0.7371002325110094 * (-0.5850486126764433 + (2.29430828500566 * x_8)))))))))) - (-0.7018100265975372 + (2.1266970502955673 * x_0))))
1201_BNG_breastTumor,ok,9,128,3,BFGS,0.14322576093539563,9.806116451405163,137,188.18,,0.0,(41.6555293452216 + ((((1.5211014893063515 * (-0.5388159060803247 + (2.3947373603569986 * x_3))) - ((((17.444087954096524 * sin(((2.6164185288254815 * (-0.6081636405595373 + (2.2524579279982864 * x_7))) - (((0.02732404724311923 * (-5.513793854744495 + (0.10828748668207969 * x_0))) - (1.118632558246799 * (-1.061913167103641 + (2.0036097492521527 * x_5)))) - (1.9744467746018106 * (-1.061913167103641 + (2.0036097492521527 * x_5))))))) - (0.6638050301009275 * (-1.061913167103641 + (2.0036097492521527 * x_5)))) - (-0.37907520188380806 * (-0.5388159060803247 + (2.3947373603569986 * x_3)))) - (0.2422603198441288 * ((((-11.714702583412716 * sin(((2.2607070189478593 * (-1.6200683918739798 + (1.270641875979592 * x_4))) - (0.42394472333665667 * (-1.061913167103641 + (2.0036097492521527 * x_5)))))) - ((-0.5276683072835399 * (-0.5388159060803247 + (2.3947373603569986 * x_3))) - ((6.484204115035634 * (-0.75 + (2.0833333333333335 * x_8))) - (2.6060242604610977 * (-1.061913167103641 + (2.0036097492521527 * x_5)))))) - (1.273240973102134 * (-1.061913167103641 + (2.0036097492521527 * x_5)))) - (1.1942948198351004 * (-1.061913167103641 + (2.0036097492521527 * x_5))))))) - (-0.7704821677188509 * (-1.061913167103641 + (2.0036097492521527 * x_5)))) - (0.818834611956663 * (-1.061913167103641 + (2.0036097492521527 * x_5)))))
1203_BNG_pwLinear,ok,10,256,4,BFGS,0.5985984213479016,2.7804126077572087,138,147.01,,0.0,(-0.8098659814336441 + ((-1.1511806784834975 * (0.103834826330233 + (1.2979353291279123 * x_9))) - ((((-0.8683295657388581 * (-0.032157832069216574 + (1.286313282768663 * x_4))) - (1.25084618574603 * sin(((1.8954641654576363 * (-0.07017213284715496 + (1.0024590406736422 * x_0))) - (5.618849038891125 * (0.23480352857641618 + (1.2692082625752226 * x_1))))))) - ((-0.860624553865074 * (0.103834826330233 + (1.2979353291279123 * x_9))) - (2.9394548061493007 * (0.103834826330233 + (1.2979353291279123 * x_9))))) - (((((-0.2799215331881202 * (0.103834826330233 + (1.2979353291279123 * x_9))) - (((1.6096884136721852 * (-0.07017213284715496 + (1.0024590406736422 * x_0))) - (1.514431042288011 * (0.103834826330233 + (1.2979353291279123 * x_9)))) - (0.38029136607238 * (0.23480352857641618 + (1.2692082625752226 * x_1))))) - ((0.6120486459618308 * ((-0.012127673025267264 + (1.2127673025267265 * x_2)) * ((-0.07017213284715496 + (1.0024590406736422 * x_0)) * (1.8580882804142185 + (-2.051468833195419 * (-0.07017213284715496 + (1.0024590406736422 * x_0))))))) - (1.505466338760422 * (0.103834826330233 + (1.2979353291279123 * x_9))))) - ((0.28388107835749077 * (-0.012127673025267264 + (1.2127673025267265 * x_2))) - (2.107510278048345 * (0.103834826330233 + (1.2979353291279123 * x_9))))) - (-0.07017213284715496 + (1.0024590406736422 * x_0))))))
